,Particulars,search_name,Address
148,Bikkgane Biryani Llp ( Porur ),Bikkgane Biryani,"No:3/26,Dharmaraj Kovil Street,, Sheikmanyam,Alpakkam,, Porur,Chennai-600116., Mob:9840197735"
149,Bikkgane Biryani Llp ( Sholinganallur ),Bikkgane Biryani,"No:439,Sathyavanimuthu St,, St,Thomas Mount Block,, Sholinganallur,Chennai-600119., Mob:9962312117"
150,Bikkgane Biryani Llp ( Villivakkam ),Bikkgane Biryani,"No:381,Maligaicherry,, MTH Road,Villivakkam,, Chennai-600049., Mob:8248777955"
151,Bikkgane Biryani Llp ( West Tambaram ),Bikkgane Biryani,"No:131,Siva Shanmugam Pillai Street,, Tambaram Mpty,West Tambaram,, Chennai-600045., Mob:9840197735"
152,Bliss Chocolates India Private Limited,Bliss Chocolates,"Old No:15/16A4,New No:15/16A4D,, Ground & First Floor,, Gentle Tides East Cost Road,, Sholinganallur,Injambakkam,, Chennai-600115., Mob:9710351180"
153,Bloodstone Firm,Bloodstone Firm,"3/21, Mount P H Road, Karambakkam, Chennai, the Chennai Mobiles, Chennai-600116, Mob:9789328616"
154,Blue Diamond,Blue Diamond,"Chetpet, Chennai 600031, Mob 99624 43443, Mr. Sathish"
155,Bluemont Hotels Private Limited,Bluemont Hotels,"Old no 36, new Number 71,, Sterling Road, Nungambakkam,, Chennai – 600034., MOB NO- 7094406110"
156,Blue Moon Recreation Club,Blue Moon Recreation Club,"14 and 15, Vinayaga Avenue, Okkiam Thoraipakkam, Chennai, PH:85318 18118"
157,Blue Planet Foods Private Limited,Blue Planet Foods,"No:213,2nd Floor,Nexus Vijaya Mall,, Arcot Road,Vadapalani,, Chennai-600026., Mob:8072700403"
158,Blue Planet Foods Pvt Ltd ( OMR ),Blue Planet Foods,"Brigade World Trade Center, Sales Office 5,, 142, Rajiv Gandhi Salai,, Chennai - 600096, mob no : 9880128599"
159,B&M Hotbreads Private Limited(W),B&M Hotbreads,"No:1043,Chokkanallur Village,, Poonamallee Taluk,Tiruvallur Dist,, Chennai-600072., Mob:8190905214 / 6380126446"
160,BML Facility Management Private Limited,BML Facility Management,"1st floor, 66/77,, Saravana Perumal 1st street,, Purasawakkam,, Chennai - 600 084., Mob: 98411 33050, 97107 09802"
161,BMQR Certifications Pvt Ltd,BMQR Certifications,"No:5,2nd Floor,, Sathyamoorthy Road,, Thiruvalleswarar Nagar,, Thirumangalam,Chennai-600040., Mob:9381137501"
162,BNY-Mellon Technology Private Ltd,BNY-Mellon Technology Private Ltd,"SEZ,Ground to 6th Floor of Block 3,, Sr,181-183,New No: 158,, SNP Infra,Embassy Splendid TechZone,, Chennai-600043, Mob:8883053399."
163,Boat Stopper,Boat Stopper,"New No 116, Old No.83,, 1st Main Road,thiruvallur nagar, Chennai- 600090, 98407 30407"
164,Bombay General Stores,Bombay General Stores,"No:15,Raja Street,, T Nagar, Chennai 17, Mob:9841060671."
165,Bombay General Stores ( Sales ),Bombay General Stores,"No:15,Raja Street,, T Nagar,Chennai-600017., Mob:9841060671."
166,Bonavi Enterprises,Bonavi,"PLOT NO.245, 22ND STREET, SRI KRISHNA, NAGAR, MADURAVOYAL, Chennai, Tiruvallur,, Tamil Nadu, 600095, 9841668400"
167,Bon Fresh Foods Private Limited,Bon Fresh Foods,"No:8C/1,Sastha Nagar,, Villivakkam,, Chennai-600049., ( Opp to Sastha Nagar Christian Assembly ), Mon:9962342299."
