Sl_No,Restaurant,Address,Detected_Cuisines,Total_SKU_Score
705,Kay-Em Luxury Hotels & Resorts Pvt Ltd,"( Kayem Spectra Hotels ), 1/226, Service Road,, Vanagaram,, Chennai 600 095.",Hotel_Star,3.3
675,JPRI Hotels Private Limited,"No:125,Valluvar Kottam High Road,, Nungambakkam,Chennai-600034., Mob:9047608430.",Hotel_Star,3.3
672,Jolly Gem Inn Pvt Ltd,"1A, 1B, Rajive Gandhi Salai,, Omr, Navalur, Chennai - 603103, Contact No : 99403 86768",Hotel_Star,3.3
660,J Hotels Private Limited,"(The Accord Metropolitan), G N Chetty Road  T Nagar, Chennai - 600 017.",Hotel_Star,3.3
216,C&C HOTEL NEEDS,"OLD NO.5/1, NEW NO.3,, KRISHNAMA ROAD,, KRISHNAMA LANE,, NUNGAMBAKKAM,, Chennai-600034, Mob-93421 70401",Hotel_Star,3.3
217,Ceebros Hotels Private Limited,"Pullman Chennai Anna Salai, No:636,Anna Salai,, Teynampet,Chennai-600035., Mob:91500 70924",Hotel_Star,3.3
775,Lemon Tree Hotel,"72 Sardar Patel Road, Guindy, Chennai 600 032, 044 44232118, 04444232323, Mob No. 9840610894",Hotel_Star,3.3
1310,PRIDE HOTELS LIMITED,"216, EVR Periyar Salai, Kilpauk,, Chennai - 600 010., Mob. No: 09840384455, T: (044) 43989898",Hotel_Star,3.3
156,Bluemont Hotels Private Limited,"Old no 36, new Number 71,, Sterling Road, Nungambakkam,, Chennai – 600034., MOB NO- 7094406110",Hotel_Star,3.3
1468,Saaral  Resort & Hotels Pvt Ltd,"No : 1/685, Valayapathy Salai, Mugappair East, J J Nagar, Chennai - 600037, Varan - 9789987634",Hotel_Star,3.3
1610,Siprian Hotels Pvt Ltd,"Mango Hill Chennai, Unit of Siprian Hotels Pvt, No:4,Thirumalai Pillai Road,, T.Nagar,Chennai-600017, Mob:9600162200",Hotel_Star,3.3
1576,Shimona Hotels Private Limited,"3/204, Parthasarathy Nagar,, Manapakkam Main Road,, Manapakkam,, Chennai 600116., Mob: 99252 22418.",Hotel_Star,3.3
1575,SHILTON HOSPITALITY PRIVATE LIMITED,"Old No 87, New No 90,, Dee Cee Manor, G N Chetty Road,, T Nagar, Chennai,, Tamil Nadu, 600017, Ph No : 6379361237",Hotel_Star,3.3
1574,Shilton Hospitality LLP,"Dee Cee Manor Hotel, GN Cheety Road, T Nagar Chennai-600005, Mobile: 63793 61237, 98451 09439",Hotel_Star,3.3
1546,Seetharam Hotels,"No 1/228 Rajivgandhi Rd.,, OMR  IT Corridor, Semmencherry, Chennai 600 119., Mob: 98406 78603, Name: Abbas",Hotel_Star,3.3
1523,SAS Hotels And Enterprises Limited (T),"(The Residency), No:49,G.N. Chetty Road, T Nagar, Chennai - 600 017, 044 28253434",Hotel_Star,3.3
1520,Sarovar Hotels Private Limited,"No. 39, Mambakkam, Chennai to Bangalore National Highway,, Sriperumbudur,Kancheepuram,, Tamil Nadu, 602105",Hotel_Star,3.3
1514,Saras Hotels Pvt Ltd,"( Days Hotels ), 245 1 Old Mahabalipuram Road, Padur Chennai 603104, Mob No. 9551386655",Hotel_Star,3.3
1493,Sameera Hotels(Chennai) Private Limited (AS),"The Lotus Hotel Sameera, NO.47, ANNA SALAI,, CHENNAI – 600  002., Mobile: +91 9952051704, Tel-044- 46062200",Hotel_Star,3.3
1433,Robust Hotels Limited,"( Hyatt Regency ), No 365 Anna Salai, Teynampet, Chennai 600018",Hotel_Star,3.3
219,Ceebros Hotels Private Limited (AL),"120 St Marys Road Alwarpet, Chennai 600018",Hotel_Star,3.3
128,Barque Hotels Pvt Ltd,"Holiday Inn Express, No. 5/395, OMR Road Nehru Nagar, Thoraipakkam, Chennai-600097, Mob-8939834541",Hotel_Star,3.3
1410,Resort Way Bakes & Juice,"Akkarai,Ecr,, Chennai-600119., Mob:9645496545.",Hotel_Star,3.3
1388,RBL Hotels Pvt Ltd,"( Vivanta Chennai ), IT Expressway Chennai, No. 309, OMR, Sholinganallur, Chennai-600 119",Hotel_Star,3.3
138,Beverly Hotel (P) LTD,"No:17,Rajarathinam Road,, Kilpauk,Chennai-600010",Hotel_Star,3.3
1384,Rar Hotels Private Limited,"No 15 Venkatraman Street, T.Nagar, Chennai 600 017, Mob No 99520 51704",Hotel_Star,3.3
1369,Rajam Resorts Private Limited,"( Pleasant Days), Chennai Bangalore High Way, Palanjur Sembarambakkam, Chennai 600 123, Phone No 044 2681 1000/0900",Hotel_Star,3.3
1357,Radha Rajalakshmi Hotels Private Limited,"No 4/129 Mount  Poonamalle Road, Opp to Ex C.M MGR S House, Manapakkam Chennai 600 089, Mob No 7358018818 9841094155, AC No 044 66776869",Hotel_Star,3.3
1355,Raaj Bhaavan Clarks Inn,"No:307,Valluvarkottam High Road,, Chennai-600034., Mob:9943591007.",Hotel_Star,3.3
1311,Pride Inn Club,"NO: 10,Pearl Beach,Ansari Nagar,, Kovalam,Kanchipuram District,, Chennai-603112., Mob: 63695 70173",Hotel_Star,3.3
218,Ceebros Hotels Private Limited (A),"NO 636 Anna Salai, Teynampet, Chennai 600 035",Hotel_Star,3.3
640,ITC LIMITED (C),"ITC WelcomHotel Chennai, 10, Cathedral Road, Chennai 600086, Mob: 78717 77334",Hotel_Star,3.3
220,Ceebros Hotels Private Limited (L),"Lola's Pizzeria, Ground Floor,, No:187,St.Mary's Road,, Alwarpet,Chennai-600018.",Hotel_Star,3.3
589,Happy Cool Inn,"(Juice,Snacks & Ice Creams), No:24, Arunachalam Road,, Saligramam,, Chennai-600093, mob:9444453856",Hotel_Star,3.3
571,GRT Hotels And Resorts Pvt Ltd (R),"(Radisson GRT Hotel), 531 GST Road, St Thomas Mount, Chennai 600 016, Tel No. 044 22310101",Hotel_Star,3.3
570,GRT Hotels And Resorts Private Limited(GRT),"(GRT Grand), 120 Sir Thyagaraya Road, T Nagar Chennai 17",Hotel_Star,3.3
569,GRT Hotels And Resorts Private Limited,"Mahalakshmi Nagar, Chennai Tirupathi Highway, Tiruttani 631 209, PH 044 27880234, 8939841928",Hotel_Star,3.3
256,Cinemascope An Apart Hotel,"No:4/343,A-B,Anna Salai,, East Cost Road,Palavakkam,, Chennai-600041.",Hotel_Star,3.3
257,Cinemascope Clubs and Resorts,"No:343-A,Anna Street,, Palavakkam,Chennai-600041., Mob:9841248888.",Hotel_Star,3.3
259,Citadines OMR Apart Hotel Pvt Ltd,"290,Rajivgandhi salai, OMR Sholinganallur, Chennai-600119, Mb No. 9962006366 Tel No.044 71000010, Contact Person Mr Srinivasan, 71117111","Fine_Dining, Hotel_Star",3.3
261,Citrus Resorts Pvt Ltd,"No.175/9, Podavur (Village), Chennai Bangalore Highway, Sriperumpudur, Kanchipuram - 108, Mob-97502 51111",Hotel_Star,3.3
262,Citymax Hotels India Pvt Ltd,"Krispy Kreme,F&B-2,, Ground Floor,Express Avenue,, No.49 and 50 L,Whites Road,, Royapettah,, Chennai-600014, Tel.044 28464946, Ph.9916940544, 8870222766",Hotel_Star,3.3
271,C M Hotel,"No:778/8,Sankaralingar Street,, Gerugambakkam,, Chennai-600122., Mob:8056193920",Hotel_Star,3.3
519,Four Points By Sheraton,"Mahabalipuram Resort & Convention Center, Confluence Banquets & Resorts, ECR-OMR Junction, ECR, Poonjeri,, Mahabalipuram, Chennai -603 104, Mob-99628 91115, Janakiraman A/c No: 7397492163",Hotel_Star,3.3
505,Floressa Hotels,"5th Floor, NO 46,47 & 48,, Krishnaveniammal Nagar,, 1st main Road, kancheepuram,, Chennai, Chengalpattu,, Tamil Nadu, 600056, Ph:73580 94886, 9600655313",Hotel_Star,3.3
279,Comforts Inn Marina Towers,"No,2,A,Ponni Amman Koil St, Egmore,, Chennai -600 008.",Hotel_Star,3.3
459,Empee Hotels Limited,"(C O Hilton Chennai), 124 1 J N Salai, Ekkaduthangal, Chennai 600 032",Hotel_Star,3.3
442,EIH Associated Hotels Limited,"(Trident Chennai), 1/24, G.S.T. Road, Pazavanthangal,, Chennai - 600 027, Mob .9941154844, 044 22428253, 22428260",Hotel_Star,3.3
439,Eesentia Premier Hotel Chennai,"( A Unit of Averina Hospitality Ltd ), No:71/2,Okkiam,Thoraipakkam,, Rajiv Gandhi Salai,OMR,, Chennai-600097., Mob: 9025222957.",Hotel_Star,3.3
286,Confluence Banquets & Resort,"(Unit of Arun Excello Constructions LLP), ECR OMR Junction, ECR Road Poonjeri, Mahabalipuram, Chennai 603 104, MobNo.9500126102, A/c No: 9840968740",Hotel_Star,3.3
288,Continental Hotel Resorts,"(Esthell Hotels&Resorts), No 1 Royal Enclave, Besant Avenue Rd Adyar, Chennai 600020, 9176011433, A/c No: 9500080333","Continental, Hotel_Star",3.3
421,Duet India Hotels Pvt Ltd,"Plot No.P3,Near Sezgate, Mahindra World City, Chengalpet,, Chennai-603 002",Hotel_Star,3.3
420,Duet India Hotels ( Chennai OMR ) Pvt Ltd,"Survey No 169 Plot No 1B & 1A, Rajiv Gandhi Salai, Kumaran Nagar, Sholinganallur, Chennai 600119, Mob 72992 29900, Mr. Sarathy Christo, M +91 7824017727  T 044.49256699",Hotel_Star,3.3
417,Druta Vrddhi Hotels Private Limited,"E-147 A, No 5,2nd Avenue,Besant Nagar,, Adyar,Chennai.",Hotel_Star,3.3
378,Dheeyas Hotel Pvt Ltd,"No.102/124, Redhills Road, Vijayalakshmipuram, Ambattur, Chennai - 600 053, Tel : 044 6050 0222",Hotel_Star,3.3
579,Hablis Hotels,"19 29 G S T Road, Guindy, Chennai 600 032, Tel No 044 40235555",Hotel_Star,3.3
600,Hotel Blue Nile Pvt Ltd,"No:94,GST Road,Pallavaram,, Chennai-600043.",Hotel_Star,3.3
1628,Sky Hotels,"No:24,Besant Nagar, Adyar,, Chennai, Tamilnadu-600020, Mob:9585832414",Hotel_Star,3.3
601,Hotel City Friends Club,"Old No 89, Chamiers road, R.A.Puram,, Chennai, Tamil Nadu, 600028, Ph No; 9566511720",Hotel_Star,3.3
639,Itc Hotels Limited - Welcomhotel Chennai,"Cathedral Road,, Chennai-600086., Mob:9962632130",Hotel_Star,3.3
638,ITC Hotels Limited,"No:63,Mount Road,, Guindy,Chennai-600032.",Hotel_Star,3.3
637,ITC Grand Chola,"63 Mount Road, Chennai 600032",Hotel_Star,3.3
631,Interglobe Hotels Private Limited (C),"(IBIS Chennai City Centre), Plot No 684 690 Anna Salai, Block No 6 Landmark Seethakathi Buiness Centre, (Earlier Anand Theater), Thousand Lights Chennai 600 006., Mob 8939865461",Hotel_Star,3.3
630,Inter Globe Hotels Private Limited,"Plot No 34 SSPDL Construction Compus, Opposita to Sipcot It Park Entrance, OMR Road Egattur Chennai 603103, Ph.8939852713, A/c No: 8939852721",Hotel_Star,3.3
615,Hotel SRR Grand,"No:133,GST Road,, Otteri,Vandallur,, Chennai-600048",Hotel_Star,3.3
614,Hotel Sea Breeze,"No:18, Oothawadai St, Mamallapuram,, Chennai, Tamilnadu-603104, Mob;9940037295",Hotel_Star,3.3
613,Hotel Royal Southern @SRM Hotel P Ltd,"SRM Nagar Kattankulattur, Kancheepuram District, Chennai 603 203, Mob 98409 66778, Land Line: 044 4743 2163",Hotel_Star,3.3
612,Hotel Raj Park Private Limited,"180, TTK Road,, Alwarpet,, Chennai - 600 018, PH: 044 42257777, Mob 99405 80044",Hotel_Star,3.3
611,Hotel Raj Meridian New,"No 1 First Main Road,, Jaya Nagar GST Road,, Tambaram Sanatorium,, Chennai 600047., Mob 99626 37304",Hotel_Star,3.3
610,Hotel President Ariff & Co,"(Clarion Hotel), Dr Radha Krishnan Salai, Mylapore, Chennai 600 004, T: +91 44 2847 2211 M: +91 8939838121, Mob: 6381801311",Hotel_Star,3.3
609,HOTEL PANDIYAS KARAIKUDI CHETTINAD RESTAURANT,"DOOR NO.45, KASI TOWERS, BYPASS ROAD,, VANAGARAM, Chennai, Tiruvallur, Tamil Nadu, 600095, Mob:7639383760","Fine_Dining, South_Indian, Hotel_Star",3.3
608,Hotel Pandian,"15, Kenneth Lane, Egmore, Chennai 600008, Mob 9841221208, Mr Sangamuthu",Hotel_Star,3.3
607,Hotel Mount Heera,"287, MKN Road, Alandur, Chennai,, Tamil Nadu, 600016, Ph; 80560 81083",Hotel_Star,3.3
606,Hotel Maharajay,"No: 6/12, J J Nagar,Bazar Road,, Mogappair East,, Chennai - 600037, Mob : 9840671711 ( Gangadhar )",Hotel_Star,3.3
605,Hotel Jayapushpam Private Limited,"(Jaya Pushpam Hotel), 1131 Inner Ring Road, Koyambedu, Chennai 600 107, Mob 7708033578, Stores@hoteljpchennai.Com",Hotel_Star,3.3
239,Chennai Deluxe International Hotel Private Limited,"Hotel Chennai Le Palace, No:5/9,Arcot Road,, Karambakkam,Chennai-600116., Mob:9551214031",Hotel_Star,3.3
240,Chennai Deluxe International Hotel  Pvt Ltd ( K ),"Block No:1,Plot No:5,, E Road Koyambedu,, Chennai-600107., Mob:9710977615",Hotel_Star,3.3
604,Hotel Halez,"No:102,Rajiv Gandhi Salai,, Sholinganallur,Chennai-600119., Mob:9094011878",Hotel_Star,3.3
603,Hotel Crescent,"NO:309,Valluvar Kottam High Road,, Near Raj Bhavan Hotel,, Nungambakkam,, Chennai-600034., MOB: 99403 33271.",Hotel_Star,3.3
602,Hotel City Park,"No.2/8, Kunarathur Main Road, Moulivakkam,, Chennai, Tamil Nadu, 600102, 90877 20095",Hotel_Star,3.3
1625,SKS Hotel and Holding Private Limited,"No 42, 35th Cross Street,, Besant Nagar, Chennai 600 090",Hotel_Star,3.3
1249,Palmgrove Beach Hotels Private Limited,"564 Anna Salai Teynampet, Chennai 600018",Hotel_Star,3.3
1970,Thief Hotels Resorts Private Limited,"No:50/150,DR MGR Salai,, Kodambakkam High Road,, Nungambakkam,Chennai-600034., Mob:9962298392.",Hotel_Star,3.3
1776,SRP Prosperita Hotel Ventures Ltd,"(Holiday Inn Chennai OMR IT Expressway), 110, Rajiv Gandhi Road,, Thiruvanmaiur,, Chennai - 41, Mob - 7550111019, A/c No. 7550111010 , 7550111050",Hotel_Star,3.3
2152,VVT Hotels Private Limited,"142 Old Mahabalipuram Rd, Thoraipakkam, Chennai 600 097, Contact No. 044 45644444 / 30405555",Hotel_Star,3.3
73,Appu Hotels Limited,"( Le Royal Meridien Chennai ), G S T Road Guindy, Chennai  600 016, Tel No: 044 45532290, 22314343,44",Hotel_Star,3.3
66,Apollo Sindhoori Hotel Ltd ( Main Hospital ),"No:21,Greams Lane,, Off Greams Road,Thousand Lights,, Chennai-600006., Mob:7401114634.",Hotel_Star,3.3
2147,VVA Hotels Pvt Ltd,"(Radisson Blu Egmore), No 2 Ethiraj Salai, Commander in Chief Road Egmore, Chennai 600 008, Ph:7299006111 ., Ph:7299042544",Hotel_Star,3.3
2062,Vasanta Bhavan Hotels India Private Limited,"Developed Plot  South Phase No.34, Guindy Industrial Estate, Chennai","South_Indian, Hotel_Star",3.3
1771,SRM Hotel Pvt Ltd ( G ),"No.36, Sardar Patel Road,, Guindy, Chennai., Pin-600032, Mob-9500129893, Pur No . 7397758413, Tel No: 044 45653337",Hotel_Star,3.3
2139,V.S.Hotel (Unit Hotel Grand Palace),"No:257,GST Road,, Chrompet,Chennai-600044., Mob:8778786918.",Hotel_Star,3.3
1772,SRM Hotels Private Limited ( T.Nagar ),"Padmam veg restaurant, 54 venkatanarayana road, Parthasarathypuram, T nagar, chennai -600017, ph:98439 73898",Hotel_Star,3.3
1773,SRM Hotels Private Limited (V),"C - Block,No:1, Jawaharlal Nehru Road, 100 Feet Road, Vadapalani, Chennai - 600 026., Mob 9677025690, Mr Gangadharan",Hotel_Star,3.3
22,Aitken Spence Hotel Managements(SI) Pvt Ltd,"No 144 7 Rajiv Gandhi Salai, OMR Kottivakkam, Chennai 600 041, Mobile No 80723 31522",Hotel_Star,3.3
1789,ST Hotel Park Lane,"3/57, Veteran Lane, Pallavaram, Chennai - 600 043, Mob 73585 00999",Hotel_Star,3.3
1696,Sree Gokulam Hotel India Pvt Ltd,"Sabari Classic, ECR Navalur, Chennai 603 103, PH 044 47445030, 98409 66628",Hotel_Star,3.3
67,Apollo Sindhoori Hotel Ltd ( Ty ),"No:6,Old No:24,Cenotaph Road,, Teynampet,Chennai-600035., Mob:7401114634.",Hotel_Star,3.3
68,Apollo Sindoori Hotel Ltd ( Proton ),"Apollo Proton Cancer Center, No:4/661,Dr Vikram Sarabai Instronic Estate,, 7th Street,Dr Vsi Estate,Phase II,, Taramani,Chennai-600009., Mob:7401114631.",Hotel_Star,3.3
2085,VENUSTA HOTELS,"First Floor, 5/233,, Vallalar Illam,, Sitaraman Avenue,, 7th Street, VGP Universal Kingdom,, Injambakkam,, Chennai - 600 115., Mob: 9962204528",Hotel_Star,3.3
69,Apollo Sindoori Hotels Limited(MCC),"ASHL - Madras Cricket Club, 1, Babu Jagarjeevan Ram,, Chepauk, Chennai - 600 005, MOB:- 7401114634",Hotel_Star,3.3
1846,Taj GVK Hotels & Resorts Ltd,"(Taj Mount Road), No,2,Club House Road,, Chennai- 600 002",Hotel_Star,3.3
2093,V.G.P Goldenbeach Resort Ltd,"No 5/159 ECR Road, Injambakkam, Chennai 600 115., Mob 9384825777",Hotel_Star,3.3
15,Adyar Gate Hotels Limited,"TTK Road, Chennai 600018",Hotel_Star,3.3
2123,"Vivanta by Taj - Fisherman's Cove, Chennai","Covelong Beach, Chennai - 603 112","Seafood, Hotel_Star",3.3
17,Agk Hotels International Private Limited,"No 1, Krishna Group, 1st Main Road,, CIT Colony,, chennai -600004, PH: 99520 13411",Hotel_Star,3.3
1845,Taj Fisherman''s Cove Resort & Spa (N),"Covelong Beach, Chennai - 603 112","Seafood, Hotel_Star",3.3
65,Apollo Sindhoori Hotel Ltd ( CK ),"Centralised Kitchen, No:717,No:238,Pathari Road,, Anna Salai,, Chennai-600002., Mob:7401114634, ( Near Raj Video Vision)",Hotel_Star,3.3
2061,Vasanta Bhavan Hotels India (P) Ltd,"Developed Plot  South Phase No.34, Guindy Industrial Estate, Chennai-600032, Mob:9566194881","South_Indian, Hotel_Star",3.3
1880,Thalappakatti Hotels Private Limited ( M ),"Mundiyampakkam Central Kitchen, 71 Door No 5, Trichy-Chennai Highway,, Mundiyampakkam Cross Road, Situated at Jeevan Park Campus, Mundiyampakkam, Villupuram 605601, MOB:9626720277",Hotel_Star,3.3
1847,Taj Madras Flight Kitchen Private Limited (Old),"No, 6,Officers Lines, # 272,G.S.T. Road,, Pallavaram, Chennai -600 043","Fine_Dining, Hotel_Star",3.3
1930,The Indian  Hotels Company Ltd,"(Vivanta  By Taj Connemara), Binny Road,, Chennai -600 002., Mob: 9841553855, Name: Rajasekar",Hotel_Star,3.3
49,ANJALI HOTELS PVT LTD,"27, Signal Office Road,, Pammal,, Chennai - 600075., Mob: 9445567766",Hotel_Star,3.3
1935,The Madras Hotel,"3/130 Rivers Bridge Road, Dr Ambedkar Nagar, Manapakkam, Chennai 600 125, Mob 81900 00016",Hotel_Star,3.3
38,Ambattur Hotels Private Limited,"( Park Hyatt), 39 Velacherry Road, Guindy Chennai  600 032, Tel No 044 71771242",Hotel_Star,3.3
1881,Thalappakatti Hotels Pvt Ltd,"No. 5/10 - 7E, Seven Wells Road,, St.Thomas Mount,, Chennai - 600 016, PhNo:  9600080955 A/c No: 8056013302",Hotel_Star,3.3
1683,SPN HOTELS PRIVATE LIMITED,"NO.29, SPN HOTELS PRIVATE LIMITED,, THIRUMALAI PILLAI ROAD, T.NAGAR,, Chennai, Tamil Nadu, 600017, MOB:044-49043030",Hotel_Star,3.3
1850,Tamarai Hotels Private Limited,"Old No.7, New No.13, First Crescent Road, Gandhi Nagar, Adyar, Chennai - 600 020, Sakthivel No: 8754490350",Hotel_Star,3.3
1931,THE IRIS HOTEL,"No 2 Dr. Thomas Road, Opposite To GRT Grand Hotels, JJ Nagar T Nagar, Chennai 600 017, Mob 96001 08786, Mr Baskaran",Hotel_Star,3.3
1848,Taj Sats Air Catering Limited,"No:6,Officers Lines,, 272,G.S.T Road,, Pallvaram,Chennai-600043.",Hotel_Star,3.3
1680,Spirit Dove Hotels and Resorts,"63/5 Ground Floor,, Murugesan naicker complex,, Greams Rd, Thousand Lights West,, Thousand Lights, Chennai,, Ph:9884606222",Hotel_Star,3.3
1682,SPM HOTEL,"Old No 3/135 New No 3/152, Perumbakkam Main Road, Medavakkam, Chennai 600 100, Mob 9094663403, Name: Ravichandran",Hotel_Star,3.3
90,Aruna Hotels Limited,"No 145, Aruna Centre,, Sterling Road,, Nungambakkam,, Chennai 600034., Mob: 9363401487",Hotel_Star,3.3
63,APA Hotels Private Limited,"(The Residency Towers), Sir ,Thyagaraya Road,, Chennai 600017, 044 28156363",Hotel_Star,3.3
64,Apeejay Surendra Park Hotels Limited,"# 601.Anna Salai, Chennai- 600 006, Tel No: 044 42676000, 42144000",Hotel_Star,3.3
2049,V7 Hotel Private Limited,"3/191,Mount Poonamalee Road,, Thelilyar Agaram Post,, Porur Chennai - 600 116, Pur : 9003651777",Hotel_Star,3.3
2025,Tuscana Restaurants,"( Unit of Tuscana Restaurants ), No:19,Wallace Garden,3rd Street,, Nungambakkam,, Chennai-600006., Mob:9962524244.","Italian, Fine_Dining",3.25
2024,Tuscana Kryptos Restaurants Private Limited,"150, Royapettah High Road, Chennai - 600 014","Italian, Fine_Dining",3.25
1963,The Style salad,"68 Taylors Road, 2nd floor,Kilpauk,, Chennai-600010, Mob 98841 82747",Health_Organic,3.15
1838,Sweet Talk Gelato Cafe,"New No 42, Old No53, Teachers Colony, Venkata Rathinam Nagar, Adyar, Chennai 600 020, Mob: 98408 34630","Italian, Cafe_Bakery, Sweets",3.15
562,Green & Grocer,"(Smk Traders), F.No.2a,D.No.180, 8th Street,Kothari Nagar, Ramapuram, Chennai-600089, Mob:",Health_Organic,3.05
561,Green Goodness Enterprises Pvt Ltd,"#57 Gwalani avenue, Pantheon road,, First lane,, Egmore, Chennai - 600008, Ph:97900 24370",Health_Organic,3.05
1090,Nalam Organic Super Store,"4/14,Valluvar Salai,Royala Nagar, Ramapuram, Chennai-600089, Mob:9551672777",Health_Organic,3.05
814,Madras Street Bowlz,"Plot No.62A,, Door No.9/135,, Madhanagar Main Road, 3rd St, Madanandapuram,, Chennai, Tamil Nadu, 600125, Ph: 9840196186",Health_Organic,3.05
563,Green & Grocer Supermarket,"No.482a,Shridevikuppam Main Rd, Kamaraj Avenue, Valasaravakkam,, Chennai-600087, mob:9042638896",Health_Organic,3.05
564,Greenpark Chennai OMR Unit,"No:169,Old Mahabailpuram Road,, Semmancheri,, Chennai-600119., Mob: 9384822600",Health_Organic,3.05
892,MGM Health Care Private Limited,"No:72,Nelson Manickam Road,, Aminjikarai,Chennai-600029., Mob:9941508559",Health_Organic,3.05
1924,The Health Shoppe,"67, Sayee Enclave,, Old GST Road,, Karunanidhi Nagar Peerkankaranai, Chennai 600063, Mob- 81 220 418 16",Health_Organic,3.05
566,Green World Super Market,"No:1,Bharathiyar Street,, Maruthi Nagar,Phase-1,, Thundalam,Chennai-600077., Mob:7550010539",Health_Organic,3.05
592,Heaven Greens,"No:161/86A,Santhome High Road,, Raja Annamalaipuram,, Chennai-600028., Number : 044-24933333",Health_Organic,3.05
750,Kyra Green Energy Solutions Private Limited,"First Floor, D.No.76/77, Kundrathur Main, Road, Mangadu, Chennai, Kancheepuram,, Tamil Nadu, 600122, Mob- 90034 71126",Health_Organic,3.05
2,ACENDO HEALTH CARE,"First Floor, No.48/1,, N M K Street,, Ayanavaram,, Chennai - 600 023., Mob: 8754282236",Health_Organic,3.05
560,Green Fresh Super Market,"No: 41, Mullai Nagar Main Road, Mudichur Road, West Tambaram,, Chennai-600 045",Health_Organic,3.05
1219,Organic Heaven,"No:25B,Old Town Ship Road,, Ambattur,Chennai-600053, Mob:9500969969.",Health_Organic,3.05
1304,Premam Super Organic Enterprises,"No.2,Roadu Street,Venkatapuram,, Kundrathur,, Chennai-600069, Mob:99443 67390 ,73587 30229",Health_Organic,3.05
1571,Shankar organic,"556/D, Gerugambakkam Main Road,, Gerugambakkam,, Chennai-600128, Mob:7358341490",Health_Organic,3.05
1259,Pastel Green ( C ),"F1 LAKSHMI APARTMENTS NO.146A, C BLOCK VELLALAR STREET, MUGAPPAIR WEST CHENNAI",Health_Organic,3.05
1879,Thai Food House LLP,"215/131, St. Mary's Road, Alwarpet, Chennai - 600 018, Contact : 04442334300",Thai,2.85
