Sl_No,Restaurant,Address,GSTIN,Detected_Cuisines,Swiggy_Food_ID,Swiggy_Dineout_ID,Imported Avocado,Blueberry,Cherry Tomato,Parsley,Thai Asparagus,Indian Asparagus,Lemon Grass,Thai Basil,Italian Lemon,Thai Bird Chilli,Shiso Leaves,Rosemary,Total_SKU_Score
589,Happy Cool Inn,"(Juice,Snacks & Ice Creams), No:24, Arunachalam Road,, Saligramam,, Chennai-600093, mob:9444453856",,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
571,GRT Hotels And Resorts Pvt Ltd (R),"(Radisson GRT Hotel), 531 GST Road, St Thomas Mount, Chennai 600 016, Tel No. 044 22310101",33AAACG3608B1ZD,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
570,GRT Hotels And Resorts Private Limited(GRT),"(GRT Grand), 120 Sir Thyagaraya Road, T Nagar Chennai 17",33AAACG3608B1ZD,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
569,GRT Hotels And Resorts Private Limited,"Mahalakshmi Nagar, Chennai Tirupathi Highway, Tiruttani 631 209, PH 044 27880234, 8939841928",33AAACG3608B1ZD,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
256,Cinemascope An Apart Hotel,"No:4/343,A-B,Anna Salai,, East Cost Road,Palavakkam,, Chennai-600041.",33AAMFC6099H1Z4,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
257,Cinemascope Clubs and Resorts,"No:343-A,Anna Street,, Palavakkam,Chennai-600041., Mob:9841248888.",33AAMFC5030E1ZX,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
259,Citadines OMR Apart Hotel Pvt Ltd,"290,Rajivgandhi salai, OMR Sholinganallur, Chennai-600119, Mb No. 9962006366 Tel No.044 71000010, Contact Person Mr Srinivasan, 71117111",33AADCR5653C1ZO,"Fine_Dining, Hotel_Star",,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
261,Citrus Resorts Pvt Ltd,"No.175/9, Podavur (Village), Chennai Bangalore Highway, Sriperumpudur, Kanchipuram - 108, Mob-97502 51111",,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
262,Citymax Hotels India Pvt Ltd,"Krispy Kreme,F&B-2,, Ground Floor,Express Avenue,, No.49 and 50 L,Whites Road,, Royapettah,, Chennai-600014, Tel.044 28464946, Ph.9916940544, 8870222766",,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
271,C M Hotel,"No:778/8,Sankaralingar Street,, Gerugambakkam,, Chennai-600122., Mob:8056193920",,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
519,Four Points By Sheraton,"Mahabalipuram Resort & Convention Center, Confluence Banquets & Resorts, ECR-OMR Junction, ECR, Poonjeri,, Mahabalipuram, Chennai -603 104, Mob-99628 91115, Janakiraman A/c No: 7397492163",33AAUFA2577J2Z1,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
505,Floressa Hotels,"5th Floor, NO 46,47 & 48,, Krishnaveniammal Nagar,, 1st main Road, kancheepuram,, Chennai, Chengalpattu,, Tamil Nadu, 600056, Ph:73580 94886, 9600655313",33ACPPV3600G2ZL,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
279,Comforts Inn Marina Towers,"No,2,A,Ponni Amman Koil St, Egmore,, Chennai -600 008.",,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
459,Empee Hotels Limited,"(C O Hilton Chennai), 124 1 J N Salai, Ekkaduthangal, Chennai 600 032",33AABCE4841P1ZG,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
442,EIH Associated Hotels Limited,"(Trident Chennai), 1/24, G.S.T. Road, Pazavanthangal,, Chennai - 600 027, Mob .9941154844, 044 22428253, 22428260",33AAACE2125M1ZY,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
439,Eesentia Premier Hotel Chennai,"( A Unit of Averina Hospitality Ltd ), No:71/2,Okkiam,Thoraipakkam,, Rajiv Gandhi Salai,OMR,, Chennai-600097., Mob: 9025222957.",33AANCA3471F1ZT,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
286,Confluence Banquets & Resort,"(Unit of Arun Excello Constructions LLP), ECR OMR Junction, ECR Road Poonjeri, Mahabalipuram, Chennai 603 104, MobNo.9500126102, A/c No: 9840968740",33AAUFA2577J2Z1,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
288,Continental Hotel Resorts,"(Esthell Hotels&Resorts), No 1 Royal Enclave, Besant Avenue Rd Adyar, Chennai 600020, 9176011433, A/c No: 9500080333",33AADPB8726B1ZB,"Continental, Hotel_Star",,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
421,Duet India Hotels Pvt Ltd,"Plot No.P3,Near Sezgate, Mahindra World City, Chengalpet,, Chennai-603 002",33AADCD2850K1ZS,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
420,Duet India Hotels ( Chennai OMR ) Pvt Ltd,"Survey No 169 Plot No 1B & 1A, Rajiv Gandhi Salai, Kumaran Nagar, Sholinganallur, Chennai 600119, Mob 72992 29900, Mr. Sarathy Christo, M +91 7824017727  T 044.49256699",33AADCD5687N1Z5,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
417,Druta Vrddhi Hotels Private Limited,"E-147 A, No 5,2nd Avenue,Besant Nagar,, Adyar,Chennai.",33AAECD2645K1ZQ,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
378,Dheeyas Hotel Pvt Ltd,"No.102/124, Redhills Road, Vijayalakshmipuram, Ambattur, Chennai - 600 053, Tel : 044 6050 0222",,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
579,Hablis Hotels,"19 29 G S T Road, Guindy, Chennai 600 032, Tel No 044 40235555",33AALFR0921L1Z6,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
600,Hotel Blue Nile Pvt Ltd,"No:94,GST Road,Pallavaram,, Chennai-600043.",,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
1628,Sky Hotels,"No:24,Besant Nagar, Adyar,, Chennai, Tamilnadu-600020, Mob:9585832414",33AEYFS3006E1Z1,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
601,Hotel City Friends Club,"Old No 89, Chamiers road, R.A.Puram,, Chennai, Tamil Nadu, 600028, Ph No; 9566511720",33ANCPA2215L1ZL,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
639,Itc Hotels Limited - Welcomhotel Chennai,"Cathedral Road,, Chennai-600086., Mob:9962632130",33AAHCI2404A1ZE,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
638,ITC Hotels Limited,"No:63,Mount Road,, Guindy,Chennai-600032.",33AAHCI2404A1ZE,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
637,ITC Grand Chola,"63 Mount Road, Chennai 600032",33AAACI5950L1ZH,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
631,Interglobe Hotels Private Limited (C),"(IBIS Chennai City Centre), Plot No 684 690 Anna Salai, Block No 6 Landmark Seethakathi Buiness Centre, (Earlier Anand Theater), Thousand Lights Chennai 600 006., Mob 8939865461",33AABCI2732H1ZZ,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
630,Inter Globe Hotels Private Limited,"Plot No 34 SSPDL Construction Compus, Opposita to Sipcot It Park Entrance, OMR Road Egattur Chennai 603103, Ph.8939852713, A/c No: 8939852721",33AABCI2732H1ZZ,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
615,Hotel SRR Grand,"No:133,GST Road,, Otteri,Vandallur,, Chennai-600048",33ADGPR3302R2ZA,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
614,Hotel Sea Breeze,"No:18, Oothawadai St, Mamallapuram,, Chennai, Tamilnadu-603104, Mob;9940037295",33AADFH6489D1ZE,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
613,Hotel Royal Southern @SRM Hotel P Ltd,"SRM Nagar Kattankulattur, Kancheepuram District, Chennai 603 203, Mob 98409 66778, Land Line: 044 4743 2163",33AABCS5185L3Z1,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
612,Hotel Raj Park Private Limited,"180, TTK Road,, Alwarpet,, Chennai - 600 018, PH: 044 42257777, Mob 99405 80044",33AAACM2368N1ZB,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
611,Hotel Raj Meridian New,"No 1 First Main Road,, Jaya Nagar GST Road,, Tambaram Sanatorium,, Chennai 600047., Mob 99626 37304",33AUGPS2624E2ZU,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
610,Hotel President Ariff & Co,"(Clarion Hotel), Dr Radha Krishnan Salai, Mylapore, Chennai 600 004, T: +91 44 2847 2211 M: +91 8939838121, Mob: 6381801311",33AAFFA4120N1ZQ,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
609,HOTEL PANDIYAS KARAIKUDI CHETTINAD RESTAURANT,"DOOR NO.45, KASI TOWERS, BYPASS ROAD,, VANAGARAM, Chennai, Tiruvallur, Tamil Nadu, 600095, Mob:7639383760",33BKTPA2692C2ZA,"Fine_Dining, South_Indian, Hotel_Star",,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
608,Hotel Pandian,"15, Kenneth Lane, Egmore, Chennai 600008, Mob 9841221208, Mr Sangamuthu",33AAACH2493P1ZA,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
607,Hotel Mount Heera,"287, MKN Road, Alandur, Chennai,, Tamil Nadu, 600016, Ph; 80560 81083",33ACMPH0578C3ZU,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
606,Hotel Maharajay,"No: 6/12, J J Nagar,Bazar Road,, Mogappair East,, Chennai - 600037, Mob : 9840671711 ( Gangadhar )",33AAIFH9682H1Z0,Hotel_Star,,,0.4,0.3,0.55,0.45,0.0,0.25,0.3,0.2,0.25,0.0,0.1,0.5,3.3
